iter	Passed	Remaining
0	129	129616
1	131	65758
2	135	45168
3	138	34395
4	140	27980
5	144	24016
6	147	20864
7	148	18457
8	151	16632
9	153	15212
10	156	14032
11	159	13098
12	161	12252
13	163	11507
14	166	10935
15	168	10381
16	172	9966
17	174	9515
18	177	9149
19	182	8944
20	187	8737
21	190	8449
22	194	8277
23	196	8004
24	198	7750
25	200	7512
26	202	7293
27	205	7132
28	207	6959
29	210	6791
30	212	6633
31	214	6475
32	215	6326
33	219	6232
34	223	6163
35	226	6061
36	228	5936
37	229	5816
38	231	5715
39	234	5624
40	237	5551
41	239	5456
42	245	5470
43	247	5387
44	250	5310
45	253	5254
46	255	5184
47	257	5107
48	259	5029
49	260	4953
50	262	4881
51	268	4890
52	269	4822
53	273	4791
54	276	4753
55	279	4706
56	280	4645
57	282	4584
58	283	4526
59	285	4472
60	287	4430
61	289	4385
62	291	4340
63	293	4293
64	296	4258
65	297	4212
66	299	4170
67	300	4124
68	302	4084
69	304	4051
70	306	4011
71	308	3974
72	310	3936
73	311	3901
74	313	3867
75	315	3838
76	318	3817
77	320	3782
78	321	3750
79	323	3718
80	325	3687
81	326	3657
82	329	3635
83	331	3617
84	332	3582
85	334	3553
86	336	3530
87	338	3506
88	340	3481
89	342	3466
90	345	3448
91	346	3423
92	348	3399
93	350	3376
94	351	3351
95	353	3327
96	355	3314
97	358	3297
98	360	3276
99	361	3255
100	363	3234
101	364	3207
102	366	3188
103	368	3170
104	369	3151
105	372	3142
106	374	3123
107	375	3105
108	377	3086
109	379	3068
110	380	3050
111	383	3039
112	385	3026
113	387	3009
114	388	2993
115	390	2974
116	392	2958
117	393	2942
118	395	2930
119	397	2916
120	401	2913
121	402	2898
122	403	2877
123	405	2863
124	406	2848
125	409	2838
126	410	2824
127	413	2814
128	415	2803
129	417	2792
130	419	2780
131	420	2766
132	422	2757
133	425	2746
134	427	2737
135	429	2725
136	430	2713
137	432	2698
138	433	2686
139	435	2674
140	437	2664
141	439	2655
142	441	2644
143	443	2633
144	444	2621
145	446	2610
146	448	2599
147	450	2592
148	452	2584
149	454	2575
150	456	2566
151	458	2557
152	460	2547
153	461	2536
154	463	2527
155	465	2518
156	467	2507
157	468	2498
158	470	2488
159	472	2478
160	475	2476
161	477	2469
162	479	2463
163	482	2458
164	484	2449
165	485	2440
166	492	2456
167	496	2456
168	497	2447
169	499	2438
170	501	2429
171	502	2420
172	504	2411
173	507	2408
174	510	2405
175	511	2396
176	513	2388
177	515	2379
178	516	2371
179	519	2365
180	520	2353
181	522	2348
182	524	2342
183	526	2335
184	528	2328
185	530	2319
186	531	2311
187	533	2305
188	536	2303
189	538	2295
190	540	2287
191	541	2279
192	543	2271
193	545	2264
194	547	2260
195	549	2255
196	551	2248
197	553	2240
198	554	2233
199	556	2225
200	558	2219
201	560	2214
202	562	2208
203	564	2203
204	566	2196
205	567	2188
206	569	2181
207	571	2175
208	573	2170
209	575	2166
210	578	2163
211	580	2157
212	582	2150
213	583	2143
214	585	2137
215	587	2133
216	589	2126
217	591	2123
218	593	2117
219	596	2113
220	597	2106
221	599	2099
222	601	2095
223	603	2091
224	605	2086
225	607	2079
226	608	2073
227	610	2067
228	612	2060
229	614	2057
230	616	2051
231	618	2048
232	620	2042
233	621	2036
234	623	2029
235	625	2024
236	627	2018
237	629	2013
238	631	2011
239	633	2005
240	634	1998
241	636	1992
242	637	1987
243	639	1982
244	641	1978
245	644	1975
246	646	1970
247	647	1964
248	649	1958
249	651	1953
250	652	1948
251	656	1948
252	658	1944
253	660	1939
254	662	1934
255	663	1929
256	665	1923
257	667	1918
258	669	1915
259	672	1914
260	674	1909
261	675	1904
262	677	1898
263	679	1893
264	681	1888
265	683	1886
266	686	1885
267	688	1880
268	690	1875
269	691	1870
270	693	1865
271	695	1860
272	697	1858
273	700	1855
274	701	1850
275	703	1846
276	705	1841
277	707	1836
278	709	1832
279	711	1829
280	713	1826
281	715	1821
282	716	1816
283	718	1811
284	720	1806
285	721	1801
286	724	1799
287	727	1797
288	728	1792
289	730	1788
290	731	1783
291	733	1778
292	735	1774
293	741	1781
294	744	1779
295	746	1774
296	748	1770
297	749	1765
298	751	1762
299	753	1758
300	755	1754
301	757	1750
302	759	1745
303	760	1741
304	762	1736
305	764	1732
306	766	1729
307	768	1727
308	770	1723
309	772	1720
310	774	1716
311	776	1712
312	778	1709
313	782	1708
314	784	1705
315	785	1700
316	787	1696
317	789	1693
318	791	1689
319	794	1689
320	796	1685
321	798	1681
322	799	1676
323	801	1672
324	803	1668
325	805	1665
326	807	1662
327	810	1659
328	812	1656
329	814	1652
330	815	1648
331	817	1644
332	820	1642
333	822	1640
334	824	1635
335	825	1632
336	827	1628
337	829	1624
338	831	1620
339	833	1618
340	836	1616
341	838	1612
342	839	1608
343	841	1604
344	842	1600
345	844	1596
346	847	1594
347	849	1591
348	851	1587
349	852	1583
350	854	1579
351	855	1575
352	857	1571
353	859	1568
354	861	1565
355	864	1564
356	866	1561
357	868	1557
358	869	1553
359	871	1549
360	874	1547
361	876	1544
362	878	1541
363	880	1537
364	883	1536
365	884	1532
366	886	1529
367	889	1527
368	892	1525
369	893	1521
370	895	1518
371	897	1514
372	898	1510
373	900	1507
374	902	1504
375	904	1501
376	906	1498
377	908	1494
378	909	1490
379	911	1486
380	912	1483
381	915	1480
382	917	1477
383	919	1475
384	921	1471
385	923	1468
386	924	1464
387	926	1461
388	928	1458
389	931	1456
390	933	1454
391	935	1450
392	937	1447
393	938	1443
394	940	1440
395	942	1438
396	944	1434
397	947	1432
398	948	1429
399	950	1425
400	952	1422
401	953	1419
402	955	1416
403	957	1412
404	960	1410
405	961	1407
406	963	1403
407	965	1400
408	967	1397
409	968	1393
410	971	1391
411	974	1390
412	976	1387
413	977	1384
414	979	1380
415	981	1377
416	982	1374
417	985	1371
418	987	1369
419	989	1366
420	991	1363
421	993	1360
422	995	1357
423	998	1356
424	1000	1353
425	1002	1351
426	1004	1347
427	1005	1344
428	1007	1340
429	1009	1337
430	1011	1335
431	1013	1332
432	1015	1330
433	1017	1326
434	1019	1323
435	1024	1324
436	1026	1322
437	1028	1320
438	1030	1316
439	1032	1313
440	1034	1310
441	1035	1307
442	1037	1304
443	1039	1302
444	1041	1299
445	1044	1297
446	1045	1294
447	1047	1290
448	1049	1287
449	1051	1284
450	1053	1282
451	1055	1279
452	1057	1277
453	1059	1273
454	1060	1270
455	1062	1267
456	1064	1264
457	1066	1261
458	1068	1259
459	1070	1256
460	1072	1253
461	1073	1250
462	1075	1247
463	1077	1244
464	1078	1241
465	1081	1239
466	1084	1237
467	1086	1234
468	1087	1231
469	1089	1228
470	1091	1225
471	1092	1222
472	1094	1219
473	1097	1217
474	1098	1214
475	1100	1211
476	1102	1208
477	1103	1205
478	1105	1202
479	1108	1200
480	1110	1197
481	1111	1194
482	1113	1192
483	1115	1189
484	1117	1186
485	1118	1183
486	1121	1181
487	1123	1178
488	1125	1176
489	1127	1173
490	1128	1170
491	1130	1167
492	1132	1164
493	1134	1162
494	1136	1159
495	1138	1157
496	1140	1154
497	1142	1151
498	1143	1148
499	1145	1145
500	1146	1142
501	1149	1139
502	1152	1138
503	1154	1135
504	1155	1132
505	1157	1129
506	1159	1127
507	1161	1125
508	1164	1123
509	1166	1120
510	1168	1118
511	1170	1115
512	1172	1112
513	1174	1110
514	1176	1108
515	1178	1105
516	1180	1102
517	1182	1099
518	1183	1097
519	1185	1094
520	1187	1091
521	1189	1089
522	1191	1086
523	1193	1084
524	1195	1081
525	1196	1078
526	1198	1075
527	1200	1072
528	1202	1071
529	1205	1068
530	1207	1066
531	1208	1063
532	1210	1060
533	1212	1057
534	1213	1054
535	1216	1052
536	1218	1050
537	1220	1047
538	1221	1044
539	1223	1042
540	1225	1039
541	1226	1036
542	1229	1034
543	1231	1031
544	1233	1029
545	1235	1026
546	1236	1024
547	1239	1022
548	1241	1020
549	1243	1017
550	1245	1015
551	1247	1012
552	1249	1009
553	1250	1007
554	1252	1004
555	1254	1001
556	1256	999
557	1258	997
558	1262	995
559	1263	992
560	1265	989
561	1266	987
562	1268	984
563	1270	982
564	1272	979
565	1275	978
566	1277	975
567	1279	973
568	1281	970
569	1286	970
570	1294	972
571	1296	969
572	1298	967
573	1299	964
574	1301	961
575	1304	960
576	1306	957
577	1315	960
578	1318	958
579	1321	956
580	1323	954
581	1325	951
582	1326	948
583	1328	946
584	1330	943
585	1331	940
586	1334	939
587	1337	937
588	1339	934
589	1341	932
590	1343	929
591	1344	926
592	1347	925
593	1349	922
594	1351	920
595	1353	917
596	1355	914
597	1356	912
598	1358	909
599	1360	907
600	1362	904
601	1364	902
602	1366	899
603	1368	897
604	1369	894
605	1371	891
606	1373	889
607	1375	886
608	1377	884
609	1378	881
610	1380	878
611	1382	876
612	1383	873
613	1385	871
614	1387	868
615	1389	866
616	1391	864
617	1393	861
618	1395	858
619	1397	856
620	1398	853
621	1401	851
622	1403	849
623	1406	847
624	1407	844
625	1409	842
626	1410	839
627	1412	836
628	1414	834
629	1416	832
630	1419	830
631	1421	827
632	1423	825
633	1425	822
634	1427	820
635	1429	818
636	1431	815
637	1433	813
638	1434	810
639	1436	808
640	1438	805
641	1440	803
642	1442	800
643	1444	798
644	1446	796
645	1448	793
646	1450	791
647	1451	788
648	1453	786
649	1456	784
650	1457	781
651	1459	779
652	1461	776
653	1463	774
654	1464	771
655	1466	769
656	1468	766
657	1470	764
658	1472	762
659	1474	759
660	1476	757
661	1477	754
662	1479	752
663	1481	749
664	1483	747
665	1485	745
666	1487	742
667	1489	740
668	1491	737
669	1492	735
670	1494	732
671	1497	730
672	1499	728
673	1501	726
674	1503	723
675	1505	721
676	1506	718
677	1508	716
678	1510	714
679	1512	711
680	1516	710
681	1517	707
682	1519	705
683	1521	702
684	1522	700
685	1524	697
686	1526	695
687	1529	693
688	1531	691
689	1533	688
690	1534	686
691	1536	683
692	1538	681
693	1540	679
694	1543	677
695	1544	674
696	1546	672
697	1547	669
698	1549	667
699	1551	664
700	1553	662
701	1555	660
702	1557	658
703	1559	655
704	1560	653
705	1561	650
706	1563	648
707	1566	646
708	1569	644
709	1571	641
710	1573	639
711	1574	636
712	1576	634
713	1579	632
714	1580	630
715	1582	627
716	1584	625
717	1585	622
718	1587	620
719	1589	618
720	1591	615
721	1593	613
722	1595	611
723	1597	608
724	1598	606
725	1600	604
726	1602	601
727	1604	599
728	1607	597
729	1608	595
730	1610	592
731	1612	590
732	1613	587
733	1615	585
734	1618	583
735	1621	581
736	1623	579
737	1625	576
738	1627	574
739	1628	572
740	1630	569
741	1632	567
742	1634	565
743	1636	563
744	1638	560
745	1640	558
746	1642	556
747	1645	554
748	1646	551
749	1648	549
750	1650	547
751	1652	544
752	1653	542
753	1655	540
754	1657	537
755	1659	535
756	1661	533
757	1663	530
758	1664	528
759	1666	526
760	1668	523
761	1670	521
762	1672	519
763	1674	517
764	1676	514
765	1677	512
766	1679	510
767	1680	507
768	1682	505
769	1685	503
770	1686	501
771	1689	498
772	1690	496
773	1692	494
774	1694	491
775	1695	489
776	1697	487
777	1700	485
778	1702	482
779	1703	480
780	1705	478
781	1707	475
782	1709	473
783	1710	471
784	1713	469
785	1714	466
786	1717	464
787	1718	462
788	1720	460
789	1722	457
790	1724	455
791	1726	453
792	1728	451
793	1730	448
794	1732	446
795	1733	444
796	1735	442
797	1737	439
798	1738	437
799	1740	435
800	1743	433
801	1744	430
802	1746	428
803	1747	426
804	1749	423
805	1751	421
806	1753	419
807	1755	417
808	1757	414
809	1758	412
810	1760	410
811	1762	407
812	1763	405
813	1765	403
814	1767	401
815	1769	399
816	1771	396
817	1773	394
818	1774	392
819	1776	389
820	1778	387
821	1780	385
822	1782	383
823	1784	381
824	1786	378
825	1787	376
826	1789	374
827	1791	372
828	1793	369
829	1796	367
830	1798	365
831	1800	363
832	1801	361
833	1803	358
834	1805	356
835	1807	354
836	1810	352
837	1812	350
838	1814	348
839	1815	345
840	1817	343
841	1819	341
842	1821	339
843	1824	337
844	1825	334
845	1827	332
846	1829	330
847	1830	328
848	1832	325
849	1834	323
850	1836	321
851	1839	319
852	1841	317
853	1842	315
854	1844	312
855	1846	310
856	1848	308
857	1850	306
858	1852	304
859	1854	301
860	1856	299
861	1857	297
862	1859	295
863	1862	293
864	1863	290
865	1866	288
866	1867	286
867	1869	284
868	1870	282
869	1872	279
870	1874	277
871	1876	275
872	1879	273
873	1881	271
874	1882	268
875	1884	266
876	1886	264
877	1887	262
878	1889	260
879	1892	258
880	1894	255
881	1895	253
882	1897	251
883	1899	249
884	1900	247
885	1903	244
886	1905	242
887	1907	240
888	1909	238
889	1911	236
890	1912	233
891	1914	231
892	1916	229
893	1918	227
894	1920	225
895	1922	223
896	1924	220
897	1926	218
898	1927	216
899	1929	214
900	1931	212
901	1933	210
902	1935	207
903	1937	205
904	1938	203
905	1940	201
906	1942	199
907	1944	197
908	1947	194
909	1950	192
910	1952	190
911	1954	188
912	1956	186
913	1958	184
914	1961	182
915	1962	179
916	1964	177
917	1966	175
918	1967	173
919	1969	171
920	1972	169
921	1975	167
922	1977	164
923	1979	162
924	1980	160
925	1982	158
926	1984	156
927	1986	154
928	1989	152
929	1991	149
930	1993	147
931	1995	145
932	1996	143
933	1999	141
934	2001	139
935	2003	136
936	2004	134
937	2006	132
938	2007	130
939	2009	128
940	2012	126
941	2013	123
942	2016	121
943	2017	119
944	2019	117
945	2021	115
946	2022	113
947	2024	111
948	2026	108
949	2028	106
950	2031	104
